年份,论文题目,作者,期刊/会议,状态,DOI/链接,代码/数据链接,,,,,
2018,青藏高原北部柴达木盆地中新世菌孢子变化及其意义初探,"苗运法*, 吴福莉, 方小敏, 等",第四纪研究,已发表,https://doi.org/10.11928/j.issn.1001-7410.2018.01.05,,,,,,
2017,Evidence of continuous Asian summer monsoon weakening as a response to global cooling over the last 8 Ma,"Miao Y, Warny S*, Clift P, et al.",Gondwana Research,已发表,https://doi.org/10.1016/j.gr.2017.09.003,,,,,,
2017,"Neogene fungal record from IODP Site U1433, South China Sea: Implications for paleoenvironmental change and the onset of the Mekong River","Miao Y, Warny S*, Liu C, et al.",Marine Geology ,已发表,http://dx.doi.org/10.1016/j.margeo.2017.08.019,,,,,,
2017,Holocene fire on the northeast Tibetan Plateau in relation to climate change and human activity,"Miao Y*, Zhang D, Cai X, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2016.05.029,,,,,,
2016,Late Cenozoic fire enhancement response to aridification in mid-latitude Asia: Evidence from microcharcoal records. ,"Miao Y*, Fang X*, Song C, et al.",Quaternary Science Reviews,已发表,http://dx.doi.org/10.1016/j.quascirev.2016.02.030,,,,,,
2016,"Late Cenozoic pollen concentration in the western Qaidam Basin, northern Tibetan Plateau, and its significance for paleoclimate and tectonics","Miao Y*, Fang X, Liu Y, et al.",Review of Palaeobotany and Palynology,已发表,http://dx.doi.org/10.1016/j.revpalbo.2016.04.008,,,,,,
2016,"Human activity accelerating the rapid desertification of the Mu Us Sandy Lands, North China","Miao Y, Jin H, & Cui, J",Scientific reports,已发表,https://doi.org/10.1038/srep23003,,,,,,
2016,新疆青海地区现代地表沉积物颜色指标与气候参数关系,严永耀，安聪荣，苗运法*,干旱区地理,已发表,https://doi.org/10.13826/j.cnki.cn65-1103/x.2017.02.014,,,,,,
2016,Late Cenozoic genus Fupingopollenites development and its implications for the Asian summer monsoon evolution,"Miao Y, Song C, Fang X, et al. ",Gondwana Research,已发表,http://dx.doi.org/10.1016/j.gr.2014.12.007,,,,,,
2016,"A Late-Eocene palynological record fromthe Hoh Xil Basin, northern Tibetan Plateau, and its implications for stratigraphic age, paleoclimate and paleoelevation","Miao Y, Wu F*, Chang H, et al.",Gondwana Research,已发表,https://doi.org/10.1016/j.gr.2015.01.007,,,,,,
2015, Holocene climate change on the northeastern Tibetan Plateau inferred from mountain-slope pollen and non-pollen palynomorphs,"Miao Y, Jin H*, Liu B, et al.",Review of Palaeobotany and Palynology,已发表,http://dx.doi.org/10.1016/j.revpalbo.2015.05.006,,,,,,
2015,"Late Quaternary pollen records from the Yangtze River Delta, East China, and its implications for the Asian monsoon evolution","Miao Y, Zhang P*, Lu S, et al. ",Arabian Journal of Geosciences,已发表,https://doi.org/10.1007/s12517-015-1777-8,,,,,,
2014,Late Cenozoic fluvial-lacustrine susceptibility increases in the Linxia Basin and their implications for Tibetan Plateau uplift,"Yan X, Miao, Y*, Zan, J, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2013.12.046,,,,,,
2014,Natural ecosystem response and recovery after the 8.2 ka cold event: Evidence from slope sediments on the northeastern Tibetan Plateau,"Miao Y *, Jin H, Liu B, et al.",Journal of Arid Environments,已发表,http://dx.doi.org/10.1016/j.jaridenv.2014.01.021,,,,,,
2013,我国西北干旱区现代地表沉积物颜色指标与降水关系,"苗运法, 杨胜利, 卓世新, 等",海洋地质与第四纪地质,已发表,https://doi.org/10.3724/SP.J.1140.2013.04077,,,,,,
2013," Pollen and fossil wood’s linkage with Mi-1 Glaciation in northeastern Tibetan Plateau, China","Miao Y, Fang X*, Song C, et al.",Palaeoworld,已发表,http://dx.doi.org/10.1016/j.palwor.2013.06.001,,,,,,
2013,"Late early Oligocene East Asian summer monsoon in the NE Tibetan Plateau: Evidence from a palynological record from the Lanzhou Basin, China","Miao Y, Wu F*, Herrmann M, et al.",Journal of Asian Earth Sciences,已发表,http://dx.doi.org/10.1016/j.jseaes.2013.07.003,,,,,,
2013,Late Cenozoic continuous aridification in the western Qaidam Basin: evidence from sporopollen records,"Miao Y, Fang X, Wu F et al.",Climate of the Past,已发表, https://doi.org/10.5194/cp-9-1863-2013,,,,,,
2013,"Late Cenozoic sporopollen records in the Yangtze River Delta, East China and implications for East Asian summer monsoon evolution","Zhang, P., Miao, Y*, Zhang, Z, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2013.08.014,,,,,,
2012,What controlled Mid-Late Miocene long-term aridification in Central Asia? –Global cooling or Tibetan Plateau uplift: A review,"Miao Y*, Herrmann M, Wu F, et al.",Earth-Science Reviews,已发表,https://doi.org/10.1016/j.earscirev.2012.02.003,,,,,,
2011, Cenozoic Ephedraceae adaptation to global cooling in Northwestern China,"Miao Y, Yan X, Shao Y, et al.",Sciences in Cold and Arid Regions,已发表,,,,,,,
2011,"Miocene pollen record of KC–1 core in the Qaidam Basin, NE Tibetan Plateau and implications for evolution of the East Asian monsoon","Miao Y, Fang X*, Herrmann M, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2010.10.026,,,,,,
2011,Origin and development of Artemisia (Asteraceae) in Asia and its implications for the uplift history of the Tibetan Plateau: a review,"Miao Y, Meng Q*, Fang X, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2010.08.014,,,,,,
2025,"Holocene vegetation evolution on the Tibetan Plateau: An integrated 
approach utilising plant functional types","Yang Zhang, Xuelian Wang, Yunfa Miao, Xianyong Cao, Yongheng Yang, Yongtao Zhao, Gaihong Niu, Dong Yang, Yingying Zhou","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2025.112749,,,,,,
2025,"Spatiotemporal decoupling of floristic endemism in response 
to Qinghai–Tibet Plateau uplift","Bao Yang, Xuelian Wang",PNAS,已发表,https://doi.org/10.1073/pnas.2513876122,,,,,,
2025,"The cuticles of late Palaeozoic sterile leaves from the Cisuralian (Permian) in the 
Hexi Corridor, northwest China, and its palaeoenvironmental significance","Yanzhao Ji, Xuelian Wang, Yifan Hua, Bainian Sun, Feng Lu, Fenxiang Li, Yao Lin",Historical Biology,已发表,https://doi.org/10.1080/08912963.2025.2557941,,,,,,
2024,"New Discovery of Calamitaceae from the Cisuralian
in Northwest China: Morphological Evolution of Strobilus","Xuelian Wang, Yunfa Miao, Yanzhao Ji, Bainian Sun",Biology,已发表,https://doi.org/10.3390/biology13050347,,,,,,
2024,青藏高原柴达木盆地中新世单籽豆属（Podocarpium）化石的发现及其生物地理学意义,王雪莲，苗运法，牛改红，周莹莹，杨永恒，张腾，赵永涛，孟庆泉，宋春晖，张扬,第四纪研究,已发表,ｄｏｉ：１０．１１９２８／ｊ．ｉｓｓｎ．１００１７４１０．２０２４．０６．０２,,,,,,
2023,"甘肃永昌乌拉尔世 Sphenopteris ( 楔羊齿) 新记录:
兼论晚古生代 Sphenopteris 多样性及古地理演化","王雪莲, 熊聪慧, 孙柏年",古地理学报,已发表,DOI: 10．7605 /gdlxb．2023．02．029,,,,,,
2022,"Hexicladia, a new genus of the Cisuralian conifer from Hexi
Corridor, China","Xuelian Wang, Yongheng Yang, Yifan Hua, Bainian Sun,, Yunfa Miao",Review of Palaeobotany and Palynology,已发表,https://doi.org/10.1016/j.revpalbo.2022.104789,,,,,,
2020,Summary and exploration of analysis experment technology on fossil plant cuticles,"Xuelian Wang, Conghui Xiong, Bainian Sun, Jingyu Wu, Baoxia Du",Acta GeologicaSinica,已发表,ｄｏｉ：１０．１９７６２／ｊ．ｃｎｋｉ．ｄｉｚｈｉｘｕｅｂａｏ．２０２００２４,,,,,,
2019,"New materials of Mariopteris from the Cisuralian
of northwestern China and their implications for
palaeogeographic diversification","Xuelian Wang, Yanzhao Ji, Yifan Hua, Conghui Xiong, Bainian Sun",Historical Biology,已发表,https://doi.org/10.1080/08912963.2019.1675054,,,,,,
2017,"Vein density of angiosperms as a paleoclimate proxy: a case study using
fossil leaves of Zelkova and Machilus","Xuelian Wang, Zixi Wang, Ruiyun Li, Peng Deng, Li Ma, Bainian Sun",Palaeoworld,已发表,http://dx.doi.org/10.1016/j.palwor.2015.11.002,,,,,,
2026,"Pollen sources and deposition processes of modern pollen in arid areas and their implications: A case study from the Sugan Lake watershed, NW China","Yu, F., Zhao, Y., Wang, X., Yang, Y., Ma, L., Wang, H., Wang, S., Lei, Y., Xie, J., Zhang, Z（通讯作者）",Review of Palaeobotany & Palynology,已发表,https://doi.org/10.1016/j.revpalbo.2026.105556,,,,,,
2022,"Holocene hydroclimate changes revealed by multiple proxies from an alpine lake in the central Tianshan Mountains, Northwest China","Zhao, Y., Miao, Y., Huang, X., Chen, C., Zhao, J., Li, Y., Fang, Y., Wang, X., An, C","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2022.111004,,,,,,
2022,Non-linear response of mid-latitude Asian dryland vegetation to Holocene climate fluctuations,"Zhao, Y., Miao, Y., Li, Y., Fang, Y., Zhao, J., Wang, X., An, C",CATENA,已发表,https://doi.org/10.1016/j.catena.2022.106212,,,,,,
2021,"Late Pleistocene hydroclimatic variabilities in arid north-west China: geochemical evidence from Balikun Lake, eastern Tienshan, China","Zhao, Y., An, C.-B., Zhou, A., Zhang, X., Zhao, J., Dong, W., Miao, Y",Journal of Quaternary Science,已发表,https://doi.org/10.1002/jqs.3288,,,,,,
2021,"Investigation of factors affecting surface pollen assemblages in the Balikun Basin, central Asia: Implications for palaeoenvironmental reconstructions","Zhao, Y., Miao, Y., Fang, Y., Li, Y., Lei, Y., Chen, X., Dong, W., An, C",Ecological Indicators,已发表,https://doi.org/10.1016/j.ecolind.2020.107332,,,,,,
2021,"Progress, problems and prospects of palynology in reconstructing environmental change in inland arid areas of Asia","Zhao, Y., Miao, Y., Lei, Y., Cao, X., Xiang, M",Sciences in Cold and Arid Regions,已发表,https://doi.org/10.3724/SP.J.1226.2021.20049.,,,,,,
2017,Consistent vegetation and climate deterioration from early to late MIS3 revealed by multi-proxies (mainly pollen data) in north-west China,"Zhao, Y., An, C.-B., Duan, F., Zhao, J., Mao, L., Zhou, A., Cao, Z., Chen, F",Review of Palaeobotany & Palynology ,已发表,https://doi.org/10.1016/j.revpalbo.2017.04.010,,,,,,
2017,Isotopic analysis on nanogram quantities of carbon from dissolved insect cuticle: a method for paleoenvironmental inferences,"Zhao, Y., Nelson, D.M., Clegg, B.F., An, C.B., Hu, F.S",Rapid Commun Mass Spectrom,已发表,https://doi.org/10.1002/rcm.7965,,,,,,
2015,"Vegetation and climate history in arid western China during MIS2: New insights from pollen and grain-size data of the Balikun Lake, eastern Tien Shan.","Zhao, Y., An, C.-B., Mao, L., Zhao, J., Tang, L., Zhou, A., Li, H., Dong, W., Duan, F., Chen, F",Quaternary Science Reviews,已发表,https://doi.org/10.1016/j.quascirev.2015.08.027,,,,,,
2024,青藏高原东北缘祁连山区现代孢粉空间分布与搬运过程,"赵永涛, 安成邦, 陈玉凤, 赵家驹, 周爱锋, 施超",第四纪研究,已发表,https://doi.org/10.11928/j.issn.1001-7410.2024.03.04,,,,,,
2019,亚洲内陆干旱区巴里坤湖记录的 H1 突变事件,"赵永涛, 安成邦, 赵家驹, 李渊, 段阜涛, 苗运法",第四纪研究,已发表,https://doi.org/10.11928/j.issn.1001-7410.2019.04.11,,,,,,
2014,晚冰期以来乌伦古湖沉积物多指标高分辨率的古环境演化,"赵永涛, 蓝小玉, 雷艳, 王梓莎, 常婧, 陈雪梅, 张孜越, 王雪莲, 汪亘, 詹科杰",干旱区地理,已发表,http://alg.xjegi.com/CN/Y2014/V37/I2/222,,,,,,
2023,"Magnetic properties of surface soils in the upper and middle reaches of the Yarlung Zangbo River, southern Tibetan Plateau, and their environmental significance","Shuyuan Wang, Zixuan Chen, Junhuai Yang, et al.",Geophysical Journal International,已发表,10.1093/gji/ggac511,,,,,,
2022,"Variation of surface soil δ13Corg in the upper and middle reaches of the Yarlung Zangbo river basin, southern Tibetan Plateau, and its climatic implications","Shuyuan Wang, Dunsheng Xia, Yijiao Fan, et al.",Sedimentary Geology,已发表,10.1016/j.sedgeo.2022.106135,,,,,,
2022,雅鲁藏布江中上游地区表土碳同位素变化及其影响因素初探,王树源，范义姣，杨军怀，等,冰川冻土 ,已发表,10. 7522/j. issn. 1000-0240. 2022. 0105,,,,,,
2019,七种云杉针叶非结构性碳与光合特性随物候期的动态变化特征,王树源，王富，唐佳琪，等,生态学杂志,已发表,10.13292/j.1000-4890.201908.008,,,,,,
2018,干早胁迫对油松和柴松钾钙离子流的影响,王树源，王明浩，牛颖芝，等,西北农林科技大学学报（自然科学版）,已发表,"10.13207/i.cnki,jnwafu,20l8.01.004",,,,,,
2025,Palynological Studies as a Marker for Taxonomic Identifications and Evolution of Taxa Using Advanced Microscopic Techniques.," Ahmad, S., Ahmad, M., Ullah, A., Shah, H., Shahzad, A., Iqbal, R., & Miao, Y. (", Journal (Biology Bulletin) ,已发表,10.1134/S1062359025609747,https://link.springer.com/article/10.1134/S1062359025609747,,,,,
2023,"Miocene lake evolution in the western Qaidam Basin, northern Tibetan Plateau: Evidence from aquatic-plant pollen","Wang Haitao,Wu Fuli,Yang Liye,Fang Xiaomin",期刊,已发表,10.1016/j.jseaes.2023.105634,,,,,,
2020,中中新世气候适宜期西北内陆干旱区气候演化特征,"王海涛, 吴福莉, 方小敏,杨立业",期刊,已发表,10.7515/JEE192020,,,,,,
2026,AI-driven microcharcoal recognition: Advancing intelligent automation for paleofire reconstruction,"Zhang Ziyue,  Wang Zisha，Miao Yunfa, Zou Yaguo, Zhao Yongtao, Niu Gaihong, Sophie Warny",Global and Planetary Change,已发表,https://doi.org/10.1016/j.gloplacha.2026.105356,https://doi.org/10.6084/m9.figshare.29901263.v3,,,,,
2026,"Relative pollen productivity estimates for major plant taxa in the Qaidam Basin, northern Tibetan Plateau","Ma Linyuan, Zhang Shengrui, Sun Yuanhao, Wang Haitao, Xu Qinghai, Li Dehui, Zhang Ruchun, Miao Yunfa",Review of Palaeobotany and Palynology,已发表,https://doi.org/10.1016/j.revpalbo.2026.105581,,,,,,
2025,Relative pollen productivity in subtropical evergreen broadleaved forest: Implications for reconstructing paleovegetation dynamics in East Asia,"Ma Linyuan, Zhang Shengrui, Xu Qinghai, Zhou Zhongze, Miao Yunfa",Ecological Indicators,已发表,https://doi.org/10.1016/j.ecolind.2025.114112,,,,,,
2025,Review of relative pollen productivity estimates for the Tibetan Plateau,"Ma Linyuan, Xu Qinghai, Zhang Shengrui, Li Yuecong, Miao Yunfa, Cao Xianyong",Science China-Earth Sciences.,已发表,https://doi.org/10.1360/SSTe-2024-0277,,,,,,
2024,Modern pollen assemblages from the interland of the Tibetan Plateau and their significance for reconstructions of past vegetation,"Ma Linyuan, Li Zhiguang, Xu Qinghai, Li Hongmei, Zhang Kailong, Li Yuecong,Zhang Ruchun, Cao Xianyong, Zhang Shengrui",Boreas,已发表,https://doi.org/10.1111/bor.12641,,,,,,
2025,青藏高原地区相对花粉产量综述,"马林原, 许清海, 张生瑞, 李月丛, 苗运法, 曹现勇",中国科学：地球科学,已发表,https://doi.org/10.1360/SSTe-2024-0277,,,,,,
2024,Assessment of desertification sensitivity using an improved MEDALUS model in Northern China,"Ningjing Tan, Caixia Zhang, Yingying Wu, Zhenting Wang",Research in Cold and Arid Regions,已发表,https://doi.org/10.1016/j.rcar.2024.07.003,,,,,,
2024,Biocrust as a surface protection of erodible nebkhas,"Ningjing Tan, Xiaomei Luo, Zhenting Wang",Earth Surface Processes and Landforms,已发表,https://doi.org/10.1002/esp.5958,,,,,,
2026,Urban Green Spaces Under Dual Pressures of Human Activity and Climate Change: A Comprehensive Review,"Yuehan Sun,Yunfa Miao,Yaguo Zou ,Xiangnan Jing",Sustainability,已发表,https://doi.org/10.3390/su18052365,,,,,,
2026,Late Cenozoic wildfire evolution in East-Central Asia: A microcharcoal record from the Junggar Basin,"Gaihong Niu, Yunfa Miao, Xuelian Wang, Xiaoze Li, Ziyue Zhang, Yaguo Zou, Shabir Ahmad","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2025.113488.,,,,,,
2018,基于GIS的中国历代诗词地名提及的时空格局与归因,邹亚国，刘寅，彭文甫，彭秀华，李加安，钱秋红，苟思敏，田　涵，刘亮，孙林艳,地理信息世界,已发表,https://kns.cnki.net/kcms2/article/abstract?v=ZMT4ddBD2nxoZ9zLSe5F5EJRgnJI_zn8y-Z7OGyCWijHI7yokiaeGZNFe4odT5W201RCR3Lq2MBPyLscg5ZzUyNmG0slYJGFwXtmru3VwHZ7oCqHmmNpBIvosX-kdgrHz_O797H7cbFD29MkHc8q_HIqBYLQ_cdbDcwR3wWpR4am4rzOgIEHLA==&uniplatform=NZKPT&language=CHS,,,,,,
2018,基于GIS的中国历代名人人生轨迹研究,邹亚国，林先成，刘寅，邬舒玛，邱莎莎，赵灿，钟梦,地理信息世界,已发表,https://kns.cnki.net/kcms2/article/abstract?v=ZMT4ddBD2ny0Pq_wj1ta3baagwdyXdeDbhnQ9bQsWZZtnTuGNYP75v7s4FlC6Y20JBrO9yfIB6auUApQRVWNHm8dflxpxCbFfOo-iKxR0kxT-0Gq1pkZVDzoZAtySwlTGrGWWuLr3XVCIhl1CV-a2caXFbXCWdBP&uniplatform=NZKPT&language=CHS,,,,,,
2021,"A New Automatic Statistical Microcharcoal Analysis Method Based on Image Processing, Demonstrated in the Weiyuan Section, Northwest China","Yaguo Zou, Yunfa Miao, Shiling Yang, Yongtao Zhao, Zisha Wang,
Guoqian Tang, Shengli Yang",Frontiers in Earth Science,已发表,https://doi.org/10.3389/feart.2021.609916,,,,,,
2022,"一种基于图像光谱原理的炭屑自动统计方
法",邹亚国，苗运法，赵永涛，王梓莎，杜安霞,中国发明专利,已发表,https://kns.cnki.net/kcms2/article/abstract?v=ZMT4ddBD2nzbSO9QXro54aC0f8JNXPfF7Dpgi7M6QbSRCLU7hzoQPnD5cjrV1S7eykZInVcpBb8PIF5mgf8PF-XK1MyQH3O9dkJFxFvcOJvKHdf9SMD0K3u4n-e_1UH0LNYcw1zauQj_BhgmuB_Elg==&uniplatform=NZKPT&language=CHS,,,,,,
2025,"A new method of automatic microcharcoal identification and its
demonstration in revealing the spatial heterogeneity of fire over the past
40,000 years in China","Yaguo Zou, Yunfa Miao, Yimin Li, Zisha Wang, Ziyue Zhang,
Yongtao Zhao, Gaihong Niu, Ping Zhang, Yan Nie",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2025.109743,,,,,,
2026,Microtopography-driven water redistribution shapes vegetation patterns: a case plot in Gobi Desert,"Yaguo Zou, Teng Zhang, Ziyue Zhang, Yunfa Miao, Yanru Gao, Yuehan Sun",投稿中,投稿中,投稿中,,,,,,
2024,High-elevation Qilian Mountains and its inspiration for tectonics and  biodiversity during the late Middle Miocene,Yang Yongheng， Miao Yunfa， Wang Xuelian， Zhang Tao， Li Liwu,Global and Planetary Change,已发表,https://doi.org/10.1016/j.gloplacha.2024.104632,,,,,,
2025,How “wet islands” form – A case study of the Qilian Mountains on the arid  northern Tibetan Plateau during the Middle Miocene,Yang Yongheng， Miao Yunfa， Wang Xuelian， Wu Jie， Ren Yulong， Zhang Tao， Li Liwu，Fang Xiaomin,Earth-Science Reviews,已发表,https://doi.org/10.1016/j.earscirev.2025.105041,,,,,,
2026,"Pollen sources and deposition processes of modern pollen in arid areas and their implications: A case study from the Sugan Lake watershed, NW China","Fangtao Yu, Yongtao Zhao, Xuelian Wang, Yongheng Yang, Linyuan Ma, Haitao Wang, Shuyuan Wang, Yan Lei, Jingyi Xie, Ziyue Zhang, Gen Wang, Shabir Ahmad, Teng Zhang, Yunfa Miao",Review of Palaeobotany and Palynology,已发表,https://doi.org/10.1016/j.revpalbo.2026.105556,https://doi.org/10.1016/j.revpalbo.2026.105556,,,,,
